date,World,Afghanistan,Africa,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,European Union,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low income,Lower middle income,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,North Korea,North Macedonia,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
2020-02-01,2111.0,,,,,,,,,,,,2102.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,2088.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,0.0,1.0,,,,,3.0,,,,,,,,,,,19.0,,1.0,,,0.0,,,,,,,,0.0,,5.0,,,,,,,,,,,,,,,,,4.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,3.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,1.0,0.0,,,1.0,,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,0.0,2088.0,,,,,,4.0,,,,
2020-02-02,4749.0,,,,,,,,,,,,4747.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,4736.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,0.0,0.0,,,,,2.0,,,,,,,,,,,11.0,,2.0,,,1.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,2.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,1.0,0.0,0.0,4736.0,,,,,,0.0,,,,
2020-02-03,3100.0,,,,,,,,,,,,3089.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,3086.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,,,,0.0,0.0,,,,,2.0,,,,,,,,,,,11.0,,0.0,,,1.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,3.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,3.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,6.0,3.0,3086.0,,,,,,2.0,,,,
2020-02-04,4012.0,,,,,,,,,,,,4009.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,1.0,,,,,,3987.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,17.0,,2.0,,,0.0,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,0.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,1.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,6.0,,,,,,,1.0,,0.0,0.0,,,0.0,,,1.0,,,6.0,,,,,,,,,,,0.0,0.0,0.0,3995.0,,,,,,0.0,,,,
2020-02-05,3745.0,,,,,,,,,,,,3743.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,1.0,,,,,,3729.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,14.0,,4.0,,,0.0,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,4.0,,,,,,,3.0,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,1.0,0.0,3731.0,,,,,,0.0,,,,
2020-02-06,3162.0,,,,,,,,,,,,3160.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,3144.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,14.0,,3.0,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,2.0,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,1.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,4.0,,0.0,0.0,,,0.0,,,5.0,,,0.0,,,,,,,,,,,0.0,0.0,1.0,3146.0,,,,,,2.0,,,,
2020-02-07,3594.0,,,,,,,,,,,,3528.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,2.0,,,,,,3522.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,0.0,0.0,,,,,1.0,,,,,,,,,,,9.0,,1.0,,,0.0,,61.0,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,1.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,1.0,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,0.0,3523.0,,,,,,0.0,,,,
2020-02-08,2731.0,,,,,,,,,,,,2722.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,2703.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,,,,0.0,5.0,,,,,0.0,,,,,,,,,,,17.0,,1.0,,,0.0,,0.0,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,3.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,3.0,,,,,,,0.0,,0.0,0.0,,,0.0,,,1.0,,,7.0,,,,,,,,,,,2.0,4.0,0.0,2711.0,,,,,,3.0,,,,
2020-02-09,3031.0,,,,,,,,,,,,3025.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,3012.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,0.0,0.0,,,,,1.0,,,,,,,,,,,15.0,,3.0,,,0.0,,3.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,7.0,,,,,,,1.0,,1.0,0.0,,,0.0,,,1.0,,,0.0,,,,,,,,,,,0.0,1.0,0.0,3013.0,,,,,,0.0,,,,
2020-02-10,2609.0,,,,,,,,,,,,2537.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,1.0,,,,,,2516.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,20.0,,9.0,,,0.0,,71.0,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,1.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,5.0,,,,,,,2.0,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,1.0,0.0,0.0,2517.0,,,,,,1.0,,,,
